id,label
1,0.337465
2,0.312759
3,0.30542
4,0.26947
5,0.850942
6,0.733178
7,0.444565
8,0.129411
9,0.264062
10,0.331332
11,0.478389
12,0.419604
13,0.253871
14,0.61359
15,0.790495
16,0.696572
17,0.850353
18,0.754345
19,0.724525
20,0.446541
21,0.513234
22,0.625563
23,0.500744
24,0.411437
25,0.514234
26,0.689901
27,0.223442
28,0.115944
29,0.423226
30,0.674758
31,0.53317
32,0.744947
33,0.239465
34,0.780031
35,0.553198
36,0.621403
37,0.347789
38,0.82138
39,0.639685
40,0.199855
41,0.411632
42,0.714173
43,0.336541
44,0.571838
45,0.550961
46,0.23582
47,0.76223
48,0.652271
49,0.619967
50,0.650021
51,0.220687
52,0.696703
53,0.38717
54,0.828763
55,0.506833
56,0.664271
57,0.797113
58,0.423785
59,0.570984
60,0.370118
61,0.471647
62,0.435893
63,0.580245
64,0.550636
65,0.269513
66,0.498151
67,0.302835
68,0.484313
69,0.444473
70,0.764671
71,0.350758
72,0.287125
73,0.305444
74,0.558904
75,0.596679
76,0.423925
77,0.55822
78,0.305791
79,0.217505
80,0.541442
81,0.788519
82,0.298685
83,0.425845
84,0.253523
85,0.70628
86,0.176885
87,0.337957
88,0.59319
89,0.255726
90,0.556913
91,0.348723
92,0.33275
93,0.670612
94,0.378234
95,0.329629
96,0.41418
97,0.690871
98,0.824754
99,0.37386
100,0.570391
101,0.391934
102,0.167859
103,0.403578
104,0.415456
105,0.430822
106,0.446588
107,0.19106
108,0.923539
109,0.626485
110,0.649227
111,0.471891
112,0.761987
113,0.582002
114,0.621853
115,0.559996
116,0.265207
117,0.648364
118,0.416267
119,0.230977
120,0.423403
121,0.403533
122,0.411648
123,0.360402
124,0.330882
125,0.112435
126,0.497539
127,0.898454
128,0.72557
129,0.53784
130,0.830958
131,0.342846
132,0.408955
133,0.219161
134,0.490825
135,0.231386
136,0.561437
137,0.797077
138,0.0291716
139,0.00129821
140,0.479934
141,0.185229
142,0.576725
143,0.010953
144,0.0888238
145,0.449954
146,0.63292
147,0.371616
148,0.707201
149,0.0485599
150,0.784166
151,0.571934
152,0.221977
153,0.423564
154,0.719494
155,0.338443
156,0.725215
157,0.42486
158,0.489168
159,0.704982
160,0.308979
161,0.674229
162,0.450078
163,0.849688
164,0.554902
165,0.199679
166,0.636699
167,0.805015
168,0.565862
169,0.566157
170,0.25567
171,0.698322
172,0.468075
173,0.185682
174,0.0636944
175,0.70951
176,0.273056
177,0.0287787
178,0.456429
179,0.690123
180,0.118165
181,0.724759
182,0.189568
183,0.586867
184,0.771296
185,0.636204
186,0.785035
187,0.0449016
188,0.306659
189,0.850244
190,0.292104
191,0.545225
192,0.553903
193,0.404914
194,0.337533
195,0.759391
196,0.410275
197,0.165003
198,0.584143
199,0.659346
200,0.74408
201,0.601219
202,0.273181
203,0.769851
204,0.450364
205,0.55601
206,0.228229
207,0.368471
208,0.272063
209,0.759502
210,0.578692
211,0.437316
212,0.435469
213,0.510437
214,0.253126
215,0.814167
216,0.399388
217,0.192985
218,0.000226397
219,0.735146
220,0.539299
221,0.345846
222,0.482082
223,0.149851
224,0.563692
225,0.546861
226,0.505347
227,0.464291
228,0.0384651
229,0.642871
230,0.767462
231,0.202524
232,0.420205
233,0.0483683
234,0.529401
235,0.657841
236,0.538143
237,0.668495
238,0.12214
239,0.616428
240,0.692999
241,0.662545
242,0.215
243,0.550077
244,0.283474
245,0.809219
246,0.570782
247,0.488459
248,0.285011
249,0.798236
250,0.754025
251,0.322658
252,0.250835
253,0.216716
254,0.805349
255,0.365048
256,0.459667
257,0.254657
258,0.65067
259,0.0602671
260,0.575239
261,0.800655
262,0.430291
263,0.782692
264,0.335209
265,0.269663
266,0.225142
267,0.529448
268,0.477416
269,0.285134
270,0.529816
271,0.108365
272,0.610795
273,0.582157
274,0.514612
275,0.715574
276,0.593977
277,0.18672
278,0.512262
279,0.241793
280,0.67809
281,0.583321
282,0.432709
283,0.178089
284,0.193382
285,0.382838
286,0.422328
287,0.8518
288,0.430672
289,0.672548
290,0.775913
291,0.390917
292,0.483598
293,0.305811
294,0.852117
295,0.706374
296,0.6829
297,0.24227
298,0.639419
299,0.667855
300,0.0584017
301,0.763267
302,0.720946
303,0.606198
304,0.300478
305,0.77564
306,0.563657
307,0.421406
308,0.168405
309,0.0416203
310,0.329872
311,0.427934
312,0.0838308
313,0.46306
314,0.03343
315,0.355833
316,0.793012
317,0.10876
318,0.36562
319,0.737877
320,0.854136
321,0.301184
322,0.633889
323,0.656465
324,0.77902
325,0.658178
326,0.547965
327,0.84385
328,0.426586
329,0.812676
330,0.183603
331,0.21587
332,0.0383334
333,0.656048
334,0.70957
335,0.164169
336,0.00223747
337,0.648041
338,0.757176
339,0.674505
340,0.816272
341,0.63806
342,0.417272
343,0.70634
344,0.716907
345,0.739916
346,0.349396
347,0.534659
348,0.622728
349,0.312856
350,0.736462
351,0.156585
352,0.403236
353,0.250965
354,0.537218
355,0.200523
356,0.712889
357,0.584657
358,0.475666
359,0.316368
360,0.763746
361,0.449112
362,0.643295
363,0.481275
364,0.809265
365,0.372232
366,0.620306
367,0.268409
368,0.178295
369,0.442701
370,0.358867
371,0.339641
372,0.25996
373,0.879436
374,0.499313
375,0.224876
376,0.735249
377,0.44396
378,0.653796
379,0.213326
380,0.535954
381,0.732729
382,0.0866888
383,0.423974
384,0.755297
385,0.656674
386,0.341433
387,0.28664
388,0.517014
389,0.61456
390,0.774642
391,0.247692
392,0.378278
